business_address,business_city,business_id,business_latitude,business_location,business_longitude,business_name,business_phone_number,business_postal_code,business_state,full_adress,inspection_date,inspection_id,inspection_type,risk_category,violation_description,violation_id,inspection_score
1466 Haight St,San Francisco,82373.0,37.7701718,,-122.44649270000001,Veganburg,14154252889.0,94117,CA,1466 Haight St San Francisco 94117 CA,12/10/2018 12:00:00 AM,82373_20181210,Routine - Unscheduled,Low Risk,Unclean or degraded floors walls or ceilings,82373_20181210_103154,96.0
2200 BAYSHORE Blvd,San Francisco,36570.0,37.70868245,POINT (-122.402934 37.712166),-122.40551157657801,"7-Eleven, Store 2366-21389F",,94134,CA,2200 BAYSHORE Blvd San Francisco 94134 CA,04/17/2019 12:00:00 AM,36570_20190417,Routine - Unscheduled,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,36570_20190417_103124,92.0
542 Green St,San Francisco,847.0,37.79973246,POINT (-122.408033 37.799648),-122.408143592,Golden Boy Pizza,,94133,CA,542 Green St San Francisco 94133 CA,05/13/2019 12:00:00 AM,847_20190513,Routine - Unscheduled,Low Risk,Unapproved or unmaintained equipment or utensils,847_20190513_103144,94.0
860 DIVISADERO St,San Francisco,7573.0,37.777716,POINT (-122.438287 37.777598),-122.43816000000001,Green Earth Natural Foods,,94117,CA,860 DIVISADERO St San Francisco 94117 CA,03/11/2019 12:00:00 AM,7573_20190311,Routine - Unscheduled,Low Risk,Unapproved or unmaintained equipment or utensils,7573_20190311_103144,98.0
2109 CLEMENT ST,San Francisco,100099.0,37.782069795918396,,-122.48187336734699,KEN KEE CAFE,14155699118.0,94121,CA,2109 CLEMENT ST San Francisco 94121 CA,05/20/2019 12:00:00 AM,100099_20190520,Routine - Unscheduled,Moderate Risk,Moderate risk food holding temperature,100099_20190520_103120,85.0
2500 Bryant St,San Francisco,83472.0,37.7543188,,-122.4094389,The Spice Jar,,94110,CA,2500 Bryant St San Francisco 94110 CA,04/24/2019 12:00:00 AM,83472_20190424,Routine - Unscheduled,Low Risk,Unclean or degraded floors walls or ceilings,83472_20190424_103154,84.0
50 Post St #12,San Francisco,77682.0,0.0,,0.0,T-WE TEA,,94104,CA,50 Post St #12 San Francisco 94104 CA,05/17/2019 12:00:00 AM,77682_20190517,Routine - Unscheduled,Moderate Risk,Insufficient hot water or running water,77682_20190517_103129,94.0
Pier 39,San Francisco,5653.0,37.808332799999995,POINT (-122.410189 37.80824),-122.41028700000001,S. F. Chowder A Chili Cart,,94133,CA,Pier 39 San Francisco 94133 CA,05/24/2018 12:00:00 AM,5653_20180524,Routine - Unscheduled,Low Risk,Improper food storage,5653_20180524_103139,98.0
248 CHURCH,San Francisco,37234.0,0.0,POINT (-122.428894 37.766667),0.0,Thorough Bread & Pastry,,94114,CA,248 CHURCH San Francisco 94114 CA,12/06/2018 12:00:00 AM,37234_20181206,Routine - Unscheduled,,,,100.0
180 Spear St,San Francisco,71946.0,37.791841299999994,,-122.39319440000001,Heyday,,94105,CA,180 Spear St San Francisco 94105 CA,08/07/2019 12:00:00 AM,71946_20190807,Routine - Unscheduled,High Risk,Unclean or unsanitary food contact surfaces,71946_20190807_103109,93.0
737 Washington St,San Francisco,68865.0,37.795092387755105,POINT (-122.405924 37.795166),-122.406224897959,Grant Place Restaurant,,94108,CA,737 Washington St San Francisco 94108 CA,09/10/2019 12:00:00 AM,68865_20190910,Routine - Unscheduled,Moderate Risk,Foods not protected from contamination,68865_20190910_103133,87.0
406 ELLIS St,San Francisco,99783.0,37.7849136302036,,-122.41303567303801,CAFECITO,,94102,CA,406 ELLIS St San Francisco 94102 CA,04/29/2019 12:00:00 AM,99783_20190429,Routine - Unscheduled,Low Risk,Unapproved or unmaintained equipment or utensils,99783_20190429_103144,98.0
3498 Cesar Chavez St,San Francisco,87050.0,37.748246,,-122.420129,Fasty Fresh Inc/Firepie,14155944099.0,94110,CA,3498 Cesar Chavez St San Francisco 94110 CA,01/07/2019 12:00:00 AM,87050_20190107,Routine - Unscheduled,Moderate Risk,Insufficient hot water or running water,87050_20190107_103129,88.0
1750 Cesar Chavez St  Suite E,San Francisco,97064.0,0.0,,0.0,MUMSA LLC,14155818997.0,94124,CA,1750 Cesar Chavez St  Suite E San Francisco 94124 CA,09/11/2019 12:00:00 AM,97064_20190911,Routine - Unscheduled,,,,100.0
401 Hayes St,San Francisco,84888.0,37.7767562,,-122.42311799999999,Christopher Elbow Chocolates,,94102,CA,401 Hayes St San Francisco 94102 CA,07/29/2019 12:00:00 AM,84888_20190729,Routine - Unscheduled,,,,100.0
Pier 39  Space N-111,San Francisco,38231.0,0.0,POINT (-122.410189 37.80824),0.0,Wines of California Wine Bar,,94133,CA,Pier 39  Space N-111 San Francisco 94133 CA,08/16/2019 12:00:00 AM,38231_20190816,Routine - Unscheduled,Moderate Risk,Inadequate and inaccessible handwashing facilities,38231_20190816_103119,92.0
199 FREMONT St,San Francisco,7467.0,37.7901481,POINT (-122.395192 37.789314),-122.39629740000002,RUSSELL'S CONVENIENCE #621,,94105,CA,199 FREMONT St San Francisco 94105 CA,06/07/2019 12:00:00 AM,7467_20190607,Routine - Unscheduled,,,,100.0
515 Broadway St,San Francisco,83946.0,37.7978182,,-122.4059395,Noc Noc on Broadway,,94133,CA,515 Broadway St San Francisco 94133 CA,05/01/2018 12:00:00 AM,83946_20180501,Routine - Unscheduled,,,,100.0
1650 Holloway Ave,San Francisco,74983.0,37.72216220000001,,-122.4788561,Nizario's Pizza SFSU,14155335555.0,94132,CA,1650 Holloway Ave San Francisco 94132 CA,03/06/2019 12:00:00 AM,74983_20190306,Routine - Unscheduled,Low Risk,Food safety certificate or food handler card not available,74983_20190306_103157,98.0
409 Bryant St.,San Francisco,92068.0,37.7830141,,-122.39372220000001,SusieCakes Cake Kitchen,,94107,CA,409 Bryant St. San Francisco 94107 CA,08/08/2018 12:00:00 AM,92068_20180808,Routine - Unscheduled,Low Risk,Permit license or inspection report not posted,92068_20180808_103156,98.0
75 O'FARRELL St,San Francisco,99709.0,37.7865760204082,,-122.406046306122,LITTLE SWEET,,94104,CA,75 O'FARRELL St San Francisco 94104 CA,05/06/2019 12:00:00 AM,99709_20190506,Routine - Unscheduled,Moderate Risk,Inadequate and inaccessible handwashing facilities,99709_20190506_103119,94.0
2109 Chestnut St,San Francisco,88380.0,37.8004943673469,,-122.43813277551,"SusieCakes Holdings, Inc.",,94123,CA,2109 Chestnut St San Francisco 94123 CA,05/15/2019 12:00:00 AM,88380_20190515,Routine - Unscheduled,,,,100.0
1441 Stockton St,San Francisco,36451.0,37.799189399999996,POINT (-122.408934 37.799163),-122.409122,Cavalli Cafe,,94133,CA,1441 Stockton St San Francisco 94133 CA,04/10/2018 12:00:00 AM,36451_20180410,Routine - Unscheduled,Moderate Risk,Moderate risk food holding temperature,36451_20180410_103120,96.0
"1155 Battery St,  7th Floor",San Francisco,3428.0,0.0,POINT (-122.401743 37.801913),0.0,Levi Strauss & Co,,94111,CA,"1155 Battery St,  7th Floor San Francisco 94111 CA",02/08/2019 12:00:00 AM,3428_20190208,Routine - Unscheduled,,,,100.0
86 Carl St,San Francisco,1596.0,37.765945200000004,POINT (-122.449664 37.765848),-122.44966770000002,BURGERMEISTER,14155564433.0,94117,CA,86 Carl St San Francisco 94117 CA,07/10/2019 12:00:00 AM,1596_20190710,Routine - Unscheduled,Low Risk,Unclean or degraded floors walls or ceilings,1596_20190710_103154,90.0
24 Willie Mays Pl View Sect 320 Rm 5319,San Francisco,94984.0,0.0,,0.0,94884 Great House of Brews,,,CA,,07/19/2019 12:00:00 AM,94984_20190719,Routine - Unscheduled,,,,100.0
581 Hayes St,San Francisco,82097.0,37.77643340816329,,-122.425848163265,The Lunchpad,,94102,CA,581 Hayes St San Francisco 94102 CA,10/22/2018 12:00:00 AM,82097_20181022,Routine - Unscheduled,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,82097_20181022_103124,94.0
1389 UNDERWOOD Ave,San Francisco,8151.0,37.7274335306122,POINT (-122.387918 37.727494),-122.387879204082,EVERGOOD SAUSAGE COMPANY,,94124,CA,1389 UNDERWOOD Ave San Francisco 94124 CA,06/24/2019 12:00:00 AM,8151_20190624,Routine - Unscheduled,Moderate Risk,Inadequate and inaccessible handwashing facilities,8151_20190624_103119,96.0
1507 Sloat Blvd,San Francisco,82142.0,37.73357120000001,,-122.4895496,The Noodle House,14155569921.0,94132,CA,1507 Sloat Blvd San Francisco 94132 CA,09/12/2019 12:00:00 AM,82142_20190912,Routine - Unscheduled,Low Risk,Unclean or degraded floors walls or ceilings,82142_20190912_103154,86.0
3401 California St,San Francisco,94465.0,37.7866307,,-122.45022240000002,Beautifull LLC,,94118,CA,3401 California St San Francisco 94118 CA,03/21/2019 12:00:00 AM,94465_20190321,Routine - Unscheduled,Moderate Risk,Insufficient hot water or running water,94465_20190321_103129,81.0
465 California St  Suite 1600,San Francisco,76687.0,0.0,,0.0,Merchants Exchange Productions,,94104,CA,465 California St  Suite 1600 San Francisco 94104 CA,04/23/2019 12:00:00 AM,76687_20190423,Routine - Unscheduled,Low Risk,Unapproved or unmaintained equipment or utensils,76687_20190423_103144,98.0
125 3rd St 4th Floor,San Francisco,90045.0,0.0,,0.0,Vitrine Restaurant,,94103,CA,125 3rd St 4th Floor San Francisco 94103 CA,06/06/2019 12:00:00 AM,90045_20190606,Routine - Unscheduled,Low Risk,Unclean nonfood contact surfaces,90045_20190606_103142,96.0
5080 Mission St,San Francisco,75604.0,37.717082727272704,,-122.44066336363599,Rincon Latino,,94112,CA,5080 Mission St San Francisco 94112 CA,08/13/2019 12:00:00 AM,75604_20190813,Routine - Unscheduled,Moderate Risk,Moderate risk food holding temperature,75604_20190813_103120,92.0
3913 24th St.,San Francisco,91717.0,37.7514343,,-122.4300466,Open Kitchen,,94114,CA,3913 24th St. San Francisco 94114 CA,09/04/2019 12:00:00 AM,91717_20190904,Routine - Unscheduled,Low Risk,Unclean or degraded floors walls or ceilings,91717_20190904_103154,94.0
1310 Noriega St,San Francisco,93502.0,37.7543067,,-122.47783059999999,Smoky Man,,94122,CA,1310 Noriega St San Francisco 94122 CA,08/27/2019 12:00:00 AM,93502_20190827,Routine - Unscheduled,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,93502_20190827_103124,64.0
500 FLORIDA St,San Francisco,5272.0,37.762846200000006,POINT (-122.411254 37.762921),-122.41143989999999,PAN-O-RAMA,,94110,CA,500 FLORIDA St San Francisco 94110 CA,09/17/2019 12:00:00 AM,5272_20190917,Routine - Unscheduled,,,,100.0
50 Oak St  Basement,San Francisco,69595.0,0.0,POINT (-122.420136 37.775379),0.0,Cafe Creme de Hayes Valley,,94102,CA,50 Oak St  Basement San Francisco 94102 CA,09/17/2018 12:00:00 AM,69595_20180917,Routine - Unscheduled,,,,100.0
750 Kearny St  26th Floor,San Francisco,67917.0,0.0,POINT (-122.404876 37.795057),0.0,Hilton Financial District,,94108,CA,750 Kearny St  26th Floor San Francisco 94108 CA,11/27/2018 12:00:00 AM,67917_20181127,Routine - Unscheduled,,,,100.0
24 Willie Mays Pl Rm 1144,San Francisco,94649.0,0.0,,0.0,94649 Doggie Diner/Garlic Fries/Tony's Pizza,,94107,CA,24 Willie Mays Pl Rm 1144 San Francisco 94107 CA,07/19/2019 12:00:00 AM,94649_20190719,Routine - Unscheduled,,,,100.0
499 Bay St,San Francisco,19403.0,37.805355,POINT (-122.414407 37.805493),-122.415071,Starbucks,,94133,CA,499 Bay St San Francisco 94133 CA,07/03/2019 12:00:00 AM,19403_20190703,Routine - Unscheduled,Low Risk,Unapproved or unmaintained equipment or utensils,19403_20190703_103144,96.0
3251 20TH Ave #250G,San Francisco,97549.0,0.0,,0.0,SHIHLIN,14158665894.0,94132,CA,3251 20TH Ave #250G San Francisco 94132 CA,05/10/2019 12:00:00 AM,97549_20190510,Routine - Unscheduled,Low Risk,Improper food storage,97549_20190510_103139,90.0
1155 Folsom St,San Francisco,90221.0,37.7756404,,-122.408846930958,Iza Ramen,,94103,CA,1155 Folsom St San Francisco 94103 CA,05/09/2019 12:00:00 AM,90221_20190509,Routine - Unscheduled,Moderate Risk,Inadequate food safety knowledge or lack of certified food safety manager,90221_20190509_103116,87.0
639 Divisadero St A,San Francisco,95754.0,0.0,,0.0,Fools Errand,,94117,CA,639 Divisadero St A San Francisco 94117 CA,03/27/2019 12:00:00 AM,95754_20190327,Routine - Unscheduled,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,95754_20190327_103124,84.0
930 Geary St,San Francisco,97801.0,37.7861325,,-122.41884579999999,AMSTERDAM,,94109,CA,930 Geary St San Francisco 94109 CA,04/04/2019 12:00:00 AM,97801_20190404,Routine - Unscheduled,Moderate Risk,Inadequate and inaccessible handwashing facilities,97801_20190404_103119,94.0
2850 21st St,San Francisco,88428.0,37.7575762,,-122.4115977,Bon Nene,14155879332.0,94110,CA,2850 21st St San Francisco 94110 CA,05/09/2019 12:00:00 AM,88428_20190509,Routine - Unscheduled,Low Risk,Improper storage of equipment utensils or linens,88428_20190509_103145,90.0
555 Market St 6th Floor,San Francisco,85682.0,0.0,,0.0,Bon Appetit Management Co,14155810229.0,94105,CA,555 Market St 6th Floor San Francisco 94105 CA,09/16/2019 12:00:00 AM,85682_20190916,Routine - Unscheduled,,,,100.0
24 WILLIE MAYS PLAZA,San Francisco,5524.0,37.7786119,,-122.390267454256,AT&T Park - Coffee and Ice Cream (4A+4B),,94107,CA,24 WILLIE MAYS PLAZA San Francisco 94107 CA,07/19/2019 12:00:00 AM,5524_20190719,Routine - Unscheduled,,,,100.0
18 Yerba Buena Ln.,San Francisco,92642.0,37.786077399999996,,-122.4045607,Ippudo,,94103,CA,18 Yerba Buena Ln. San Francisco 94103 CA,06/13/2018 12:00:00 AM,92642_20180613,Routine - Unscheduled,Moderate Risk,Inadequate food safety knowledge or lack of certified food safety manager,92642_20180613_103116,92.0
3128 16th St,San Francisco,89803.0,37.7649604064555,,-122.422532361227,Ushio Ramen,14155700318.0,94103,CA,3128 16th St San Francisco 94103 CA,09/17/2019 12:00:00 AM,89803_20190917,Routine - Unscheduled,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,89803_20190917_103124,88.0
1708 LAGUNA St,San Francisco,1454.0,37.78690465306121,POINT (-122.428317 37.786838),-122.428269428571,KISS SEAFOOD,,94115,CA,1708 LAGUNA St San Francisco 94115 CA,04/11/2019 12:00:00 AM,1454_20190411,Routine - Unscheduled,Low Risk,Unapproved or unmaintained equipment or utensils,1454_20190411_103144,94.0
476 Castro Street,San Francisco,33831.0,37.7612906,POINT (-122.4351 37.761209),-122.43523119999999,BLUSH,,94114,CA,476 Castro Street San Francisco 94114 CA,08/21/2018 12:00:00 AM,33831_20180821,Routine - Unscheduled,Moderate Risk,Foods not protected from contamination,33831_20180821_103133,96.0
2332 CLEMENT St,San Francisco,3206.0,37.78213991836729,POINT (-122.484432 37.782068),-122.484213836735,PPQ Vietnamese RESTAURANT,,94121,CA,2332 CLEMENT St San Francisco 94121 CA,05/20/2019 12:00:00 AM,3206_20190520,Routine - Unscheduled,Low Risk,Inadequate dressing rooms or improper storage of personal items,3206_20190520_103153,88.0
1701 Noriega St,San Francisco,35702.0,37.753851700000006,POINT (-122.481866 37.753954),-122.4819916,MENKEE WONTON,,94122,CA,1701 Noriega St San Francisco 94122 CA,04/25/2019 12:00:00 AM,35702_20190425,Routine - Unscheduled,Low Risk,Unclean or degraded floors walls or ceilings,35702_20190425_103154,73.0
620 O'Farrell St,San Francisco,81894.0,37.785590090909096,,-122.415221454545,Tycoon Cafe & Restaurant,,94109,CA,620 O'Farrell St San Francisco 94109 CA,09/23/2019 12:00:00 AM,81894_20190923,Routine - Unscheduled,Low Risk,Unclean nonfood contact surfaces,81894_20190923_103142,98.0
303 Columbus Ave,San Francisco,86294.0,37.79808315,,-122.407297950695,Baked Bear,,94133,CA,303 Columbus Ave San Francisco 94133 CA,01/09/2019 12:00:00 AM,86294_20190109,Routine - Unscheduled,Low Risk,Low risk vermin infestation,86294_20190109_103161,94.0
801 Beach St,San Francisco,37361.0,37.8064343783784,POINT (-122.422165 37.806388),-122.421593972973,Ghirardelli Chocolate Fountain,,94109,CA,801 Beach St San Francisco 94109 CA,04/02/2019 12:00:00 AM,37361_20190402,Routine - Unscheduled,,,,100.0
1596 MARKET ST,San Francisco,98872.0,37.7744472,,-122.4206723,CROSSROAD PIZZERIA,14155593338.0,94102,CA,1596 MARKET ST San Francisco 94102 CA,01/29/2019 12:00:00 AM,98872_20190129,Routine - Unscheduled,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,98872_20190129_103149,92.0
25 Maiden Ln,San Francisco,92409.0,37.7882873061224,,-122.40402165306101,Iron Horse,,94108,CA,25 Maiden Ln San Francisco 94108 CA,09/25/2017 12:00:00 AM,92409_20170925,Routine - Unscheduled,Low Risk,Permit license or inspection report not posted,92409_20170925_103156,98.0
3240 Geary Blvd,San Francisco,94890.0,37.7819235,,-122.4538462,Internos Wine Cafe and Bar,,94118,CA,3240 Geary Blvd San Francisco 94118 CA,07/12/2018 12:00:00 AM,94890_20180712,Routine - Unscheduled,Low Risk,Food safety certificate or food handler card not available,94890_20180712_103157,87.0
280 Valencia St,San Francisco,95177.0,37.748017499999996,,-122.4202824,Dancing Yak Inc,,94110,CA,280 Valencia St San Francisco 94110 CA,12/10/2018 12:00:00 AM,95177_20181210,Routine - Unscheduled,Moderate Risk,Inadequate and inaccessible handwashing facilities,95177_20181210_103119,85.0
2289 3rd St.,San Francisco,90593.0,37.7765534,,-122.3901075,The Sea Star,,94107,CA,2289 3rd St. San Francisco 94107 CA,04/26/2017 12:00:00 AM,90593_20170426,Routine - Unscheduled,High Risk,Unclean or unsanitary food contact surfaces,90593_20170426_103109,89.0
4124 03rd St,San Francisco,208.0,0.0,POINT (-122.389003 37.739961),0.0,CONSTANS GROCERY,,94124,CA,4124 03rd St San Francisco 94124 CA,10/30/2018 12:00:00 AM,208_20181030,Routine - Unscheduled,Low Risk,Unapproved or unmaintained equipment or utensils,208_20181030_103144,90.0
601 19th St,San Francisco,85594.0,37.761672,,-122.38888700000001,The Pearl,14155267171.0,94107,CA,601 19th St San Francisco 94107 CA,03/25/2019 12:00:00 AM,85594_20190325,Routine - Unscheduled,Moderate Risk,Other moderate risk violation,85594_20190325_103134,92.0
"400 Howard St, Suite 110",San Francisco,88723.0,0.0,,0.0,Chipotle Mexican Grill #2828,,94105,CA,"400 Howard St, Suite 110 San Francisco 94105 CA",03/25/2019 12:00:00 AM,88723_20190325,Routine - Unscheduled,,,,100.0
1000 Van Ness Ave 3rd Floor,San Francisco,92676.0,0.0,,0.0,Vitalist Food,,94109,CA,1000 Van Ness Ave 3rd Floor San Francisco 94109 CA,01/08/2019 12:00:00 AM,92676_20190108,Routine - Unscheduled,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,92676_20190108_103149,92.0
"125 3rd St., 2nd Floor",San Francisco,90040.0,0.0,,0.0,St. Regis Hotel San Francisco Main Kitchen,,94103,CA,"125 3rd St., 2nd Floor San Francisco 94103 CA",06/06/2019 12:00:00 AM,90040_20190606,Routine - Unscheduled,Moderate Risk,Inadequate and inaccessible handwashing facilities,90040_20190606_103119,88.0
690 Indiana St,San Francisco,90595.0,37.7617950816326,,-122.39166108163299,Noon-All Day,,94107,CA,690 Indiana St San Francisco 94107 CA,03/20/2018 12:00:00 AM,90595_20180320,Routine - Unscheduled,Moderate Risk,Moderate risk food holding temperature,90595_20180320_103120,92.0
4701 MISSION St,San Francisco,4801.0,37.722896,POINT (-122.436017 37.72304),-122.436029,YICK'S LIQUOR,14155582662.0,94112,CA,4701 MISSION St San Francisco 94112 CA,05/06/2019 12:00:00 AM,4801_20190506,Routine - Unscheduled,Low Risk,Inadequate warewashing facilities or equipment,4801_20190506_103143,98.0
200 NOE St,San Francisco,7210.0,37.753025,POINT (-122.433275 37.765728),-122.432024,NOE VALLEY MARKET,14155624609.0,94114,CA,200 NOE St San Francisco 94114 CA,04/11/2019 12:00:00 AM,7210_20190411,Routine - Unscheduled,Low Risk,Unapproved or unmaintained equipment or utensils,7210_20190411_103144,96.0
65 Beverly St,San Francisco,63943.0,37.7172285510204,POINT (-122.471709 37.717298),-122.471713306122,OMI Senior Center,,94132,CA,65 Beverly St San Francisco 94132 CA,07/12/2019 12:00:00 AM,63943_20190712,Routine - Unscheduled,,,,100.0
1624 Powell St,San Francisco,69383.0,37.7996074693878,POINT (-122.410657 37.799639),-122.41060053061199,La Mediterranee,14155922956.0,94133,CA,1624 Powell St San Francisco 94133 CA,04/20/2018 12:00:00 AM,69383_20180420,Routine - Unscheduled,Low Risk,Unclean or degraded floors walls or ceilings,69383_20180420_103154,98.0
"24 Willie Mays Pl Field Level, Rm. 1.09.04",San Francisco,94970.0,0.0,,0.0,94970 Field Club Bistro,,94107,CA,"24 Willie Mays Pl Field Level, Rm. 1.09.04 San Francisco 94107 CA",07/19/2019 12:00:00 AM,94970_20190719,Routine - Unscheduled,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,94970_20190719_103124,92.0
700 04th St,San Francisco,14071.0,0.0,POINT (-122.394729 37.776858),0.0,SUBWAY #30196,,94107,CA,700 04th St San Francisco 94107 CA,07/16/2019 12:00:00 AM,14071_20190716,Routine - Unscheduled,Low Risk,Permit license or inspection report not posted,14071_20190716_103156,85.0
669 Geary St,San Francisco,92173.0,37.786412,,-122.41425725,H & L Super Market,,94102,CA,669 Geary St San Francisco 94102 CA,04/15/2019 12:00:00 AM,92173_20190415,Routine - Unscheduled,Low Risk,Improper food storage,92173_20190415_103139,92.0
409 Illinois St.,San Francisco,88741.0,37.7667525102041,,-122.388040510204,499 Taproot,,94158,CA,409 Illinois St. San Francisco 94158 CA,05/17/2017 12:00:00 AM,88741_20170517,Routine - Unscheduled,Moderate Risk,Moderate risk food holding temperature,88741_20170517_103120,92.0
688 SAN JOSE Ave,San Francisco,5032.0,37.7441456,POINT (-122.422722 37.744122),-122.42281100000001,MITCHELLS ICE CREAM,14155642300.0,94110,CA,688 SAN JOSE Ave San Francisco 94110 CA,07/18/2019 12:00:00 AM,5032_20190718,Routine - Unscheduled,,,,100.0
Pier 41,San Francisco,7600.0,37.809474200000004,POINT (-122.412 37.808494),-122.4118509,MV Vallejo,,94133,CA,Pier 41 San Francisco 94133 CA,01/19/2018 12:00:00 AM,7600_20180119,Routine - Unscheduled,Low Risk,Improper storage of equipment utensils or linens,7600_20180119_103145,98.0
6 06th St,San Francisco,77772.0,0.0,,0.0,Happy Donut,,94103,CA,6 06th St San Francisco 94103 CA,05/22/2019 12:00:00 AM,77772_20190522,Routine - Unscheduled,Low Risk,Unclean or degraded floors walls or ceilings,77772_20190522_103154,83.0
3108 16th St,San Francisco,66717.0,37.765963899999996,POINT (-122.422113 37.764953),-122.40463390000002,Giordano Bros.,,94103,CA,3108 16th St San Francisco 94103 CA,03/13/2019 12:00:00 AM,66717_20190313,Routine - Unscheduled,High Risk,High risk food holding temperature,66717_20190313_103103,91.0
1 United Nations Plaza,San Francisco,77705.0,37.779892,,-122.413625,Hey Hey Gourmet,,94102,CA,1 United Nations Plaza San Francisco 94102 CA,10/05/2016 12:00:00 AM,77705_20161005,Routine - Unscheduled,,,,100.0
600 16th St,San Francisco,65383.0,37.7666534184783,POINT (-122.398419 37.766406),-122.39191525543501,Cafe 24,,94107,CA,600 16th St San Francisco 94107 CA,04/11/2019 12:00:00 AM,65383_20190411,Routine - Unscheduled,Moderate Risk,Moderate risk food holding temperature,65383_20190411_103120,90.0
187 06th St,San Francisco,66363.0,0.0,POINT (-122.406761 37.774722),0.0,Subway Sandwich #41309,,94103,CA,187 06th St San Francisco 94103 CA,05/22/2019 12:00:00 AM,66363_20190522,Routine - Unscheduled,Low Risk,Food safety certificate or food handler card not available,66363_20190522_103157,89.0
635 Portola Drive,San Francisco,3677.0,37.74474295,POINT (-122.452425 37.744876),-122.45229963546801,Mollie Stone's Tower Market,,94127,CA,635 Portola Drive San Francisco 94127 CA,09/18/2019 12:00:00 AM,3677_20190918,Routine - Unscheduled,Low Risk,Unapproved or unmaintained equipment or utensils,3677_20190918_103144,90.0
1818 San Jose Avenue,San Francisco,62560.0,37.7285658,POINT (-122.440358 37.728688),-122.44054240000001,Tasty Coffee,,94112,CA,1818 San Jose Avenue San Francisco 94112 CA,02/28/2018 12:00:00 AM,62560_20180228,Routine - Unscheduled,Low Risk,Inadequate warewashing facilities or equipment,62560_20180228_103143,86.0
1598 Yosemite Ave,San Francisco,84749.0,37.726846,,-122.39148300000001,Craftsman and Wolves The Den,,94124,CA,1598 Yosemite Ave San Francisco 94124 CA,06/04/2019 12:00:00 AM,84749_20190604,Routine - Unscheduled,,,,100.0
103 Horne Ave.,San Francisco,90892.0,0.0,,0.0,Word on the Street,,94124,CA,103 Horne Ave. San Francisco 94124 CA,02/28/2019 12:00:00 AM,90892_20190228,Routine - Unscheduled,,,,100.0
522 02nd St,San Francisco,68813.0,0.0,POINT (-122.393379 37.782803),0.0,Small Foods,,94107,CA,522 02nd St San Francisco 94107 CA,07/30/2019 12:00:00 AM,68813_20190730,Routine - Unscheduled,High Risk,High risk vermin infestation,68813_20190730_103114,71.0
465 California St 15th Floor,San Francisco,33516.0,0.0,POINT (-122.402296 37.792921),0.0,Julia Morgan Ballroom,,94104,CA,465 California St 15th Floor San Francisco 94104 CA,10/10/2017 12:00:00 AM,33516_20171010,Routine - Unscheduled,Moderate Risk,Noncompliance with HAACP plan or variance,33516_20171010_103127,90.0
"24 Willie Mays Pl Promenade Level, Sec 114",San Francisco,95118.0,0.0,,0.0,95118 Portables 3  Da Poke-Man,,94107,CA,"24 Willie Mays Pl Promenade Level, Sec 114 San Francisco 94107 CA",07/19/2019 12:00:00 AM,95118_20190719,Routine - Unscheduled,Low Risk,Unapproved or unmaintained equipment or utensils,95118_20190719_103144,98.0
6157 GEARY Blvd,San Francisco,57628.0,37.77987529999999,POINT (-122.485327 37.779953),-122.48567040000002,Cafe Enchante,,94121,CA,6157 GEARY Blvd San Francisco 94121 CA,03/19/2019 12:00:00 AM,57628_20190319,Routine - Unscheduled,Moderate Risk,Moderate risk vermin infestation,57628_20190319_103131,94.0
2731 Taylor St,San Francisco,69849.0,37.8075974489796,POINT (-122.41574 37.807584),-122.415784938776,Darren's Cafe,,94133,CA,2731 Taylor St San Francisco 94133 CA,04/10/2019 12:00:00 AM,69849_20190410,Routine - Unscheduled,Low Risk,Improper storage of equipment utensils or linens,69849_20190410_103145,96.0
242 O'Farrell St,San Francisco,77789.0,37.786406375,,-122.40872925,Bartlett Hall,,94102,CA,242 O'Farrell St San Francisco 94102 CA,04/25/2019 12:00:00 AM,77789_20190425,Routine - Unscheduled,Low Risk,Unapproved or unmaintained equipment or utensils,77789_20190425_103144,98.0
2801 BRYANT St,San Francisco,4920.0,37.7495179,POINT (-122.408789 37.749612),-122.40866650000001,A B C MARKET,,94110,CA,2801 BRYANT St San Francisco 94110 CA,06/04/2018 12:00:00 AM,4920_20180604,Routine - Unscheduled,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,4920_20180604_103124,96.0
83 9th St.,San Francisco,89071.0,37.7725377,,-122.4100831,Street Taco,,94103,CA,83 9th St. San Francisco 94103 CA,06/03/2019 12:00:00 AM,89071_20190603,Routine - Unscheduled,Low Risk,Permit license or inspection report not posted,89071_20190603_103156,83.0
2295 03rd St,San Francisco,95439.0,0.0,,0.0,Wooley Pig,,94107,CA,2295 03rd St San Francisco 94107 CA,08/30/2019 12:00:00 AM,95439_20190830,Routine - Unscheduled,Moderate Risk,Moderate risk food holding temperature,95439_20190830_103120,88.0
